poll_id,state,Poll,link,Date,poll_date,Sample,Favorable,Unfavorable,not sure,neutral,candidate,candidate_full_name,party,favor v approve,field,notes
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,43,24,33,na,Van Hollen,Chris Van Hollen,D,favor,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,12,19,69,na,Szeliga,Kathy Szeliga,R,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,62,25,13,na,Kennedy,John Kennedy,R,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,32,19,49,na,Boustany,Charles Boustany,R,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,32,26,43,na,Campbell,Foster Campbell,D,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,29,18,53,na,Fleming,John Fleming,R,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,31,19,50,na,Maness,Rob Maness,R,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,21,21,58,na,Fayard,Caroline Fayard,D,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,22,24,53,na,Hebert,Troy Hebert,I,favor,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,14,19,67,na,Skrmetta,Eric Skrmetta,R,favor,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,49,25,25,1,Toomey,Pat Toomey,R,favor,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,27,14,59,0,Sestak,Joe Sestak,D,favor,all,
10,Pennsylvania,Quinnipac,https://www.qu.edu/images/polling/ps/ps10082015_Snw94cr.pdf,3/30-4/4,3/30/2016,1737 RV,16,11,72,0,McGinty,Katie McGinty,D,favor,all,
