poll_id,state,Poll,link,Date,poll_date,Sample,votes,candidate,full_name,party,versus,field,
5,Florida,BayNews9,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/6/28/florida_decides_polls_senate_presidential.html,6/25 - 6/27,6/25/2016,618 LV,43,Murphy,Patrick Murphy,D,RD,all,
5,Florida,BayNews9,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/6/28/florida_decides_polls_senate_presidential.html,6/25 - 6/27,6/25/2016,618 LV,7,other,other,NA,RD,all,
5,Florida,BayNews9,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/6/28/florida_decides_polls_senate_presidential.html,6/25 - 6/27,6/25/2016,618 LV,8,not sure,not sure,NA,RD,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,39,McCain,John McCain,R,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,26,Ward,Kelli Ward,R,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,4,Meluskey,Alex Meluskey,R,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,3,McBean,Scott McBean,R,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,2,van Steenwyk,Clair van Steenwyk,R,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,27,not sure,not sure,NA,5R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,41,McCain,John McCain,R,2R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,41,Ward,Kelli Ward,R,2R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,17,not sure,not sure,NA,2R,R,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,42,McCain,John McCain,R,RD.1,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,36,Kirkpatrick,Ann Kirkpatrick,D,RD.1,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,23,not sure,not sure,NA,RD.1,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,41,Ward,Kelli Ward,R,RD.2,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,36,Kirkpatrick,Ann Kirkpatrick,D,RD.2,all,
6,Arizona,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_AZ_51716.pdf,6/22 - 6/23,6/22/2016,691 RV,28,not sure,not sure,NA,RD.2,all,
7,Maryland,Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e92b6e3e-96b0-401c-972f-1130cafd1370.pdf,4/18 - 4/20,4/18/2016,300 LV,36,Edwards,Donna Edwards,D,2D,D,
7,Maryland,Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e92b6e3e-96b0-401c-972f-1130cafd1370.pdf,4/18 - 4/20,4/18/2016,300 LV,52,Van Hollen,Chris Van Hollen,D,2D,D,
7,Maryland,Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e92b6e3e-96b0-401c-972f-1130cafd1370.pdf,4/18 - 4/20,4/18/2016,300 LV,1,other,other,D,2D,D,
7,Maryland,Monmouth,http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/e92b6e3e-96b0-401c-972f-1130cafd1370.pdf,4/18 - 4/20,4/18/2016,300 LV,11,not sure,not sure,NA,2D,D,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,46,Edwards,Donna Edwards,D,RD.1,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,26,Szeliga,Kathy Szeliga,R,RD.1,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,28,not sure,not sure,NA,RD.1,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,53,Van Hollen,Chris Van Hollen,D,RD.2,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,25,Szeliga,Kathy Szeliga,R,RD.2,all,
8,Maryland,PPP,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_MD_41916.pdf,4/15 - 4/17,4/15/2016,879 LV,22,not sure,not sure,NA,RD.2,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,32,Kennedy,John Kennedy,R,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,10,Boustany,Charles Boustany,R,8,all,
9,Louisiana,SMOR,http://www.bayoubuzz.com/bb/item/1061754-elated-treas-kennedy-fundraising-post-us-senate-race-poll-leads-by-20-points-plus,5/19-5/23,5/19/2016,500 LV,9,Campbell,Foster Campbell,D,8,all,
